TEAM_ABRV,RANGE,FGM_range,FGA_range,FG_PERCENTAGE,PPS_range,PTS_range,FGM_total,FGA_total,PTS_total,EFG,PPS_total,shotRangeRatio
NYK,RIM,609,1081,0.5633672525439408,1.1267345050878816,1218,1313,2992,2961,0.49481951871657753,0.9896390374331551,0.36129679144385024
NYK,SMR,155,442,0.3506787330316742,0.7013574660633485,310,1313,2992,2961,0.49481951871657753,0.9896390374331551,0.14772727272727273
OKC,3PT,309,942,0.32802547770700635,0.9840764331210191,927,1301,2851,2911,0.5105226236408278,1.0210452472816556,0.33041038232199227
OKC,LMR,142,360,0.39444444444444443,0.788888888888889,284,1301,2851,2911,0.5105226236408278,1.0210452472816556,0.12627148368993335
OKC,RIM,684,1127,0.6069210292812778,1.2138420585625556,1368,1301,2851,2911,0.5105226236408278,1.0210452472816556,0.3952998947737636
OKC,SMR,166,422,0.3933649289099526,0.7867298578199052,332,1301,2851,2911,0.5105226236408278,1.0210452472816556,0.14801823921431076
ORL,3PT,343,976,0.3514344262295082,1.0543032786885245,1029,1203,2717,2750,0.5060728744939271,1.0121457489878543,0.35921972764078025
ORL,LMR,202,501,0.4031936127744511,0.8083832335329341,405,1203,2717,2750,0.5060728744939271,1.0121457489878543,0.18439455281560543
ORL,RIM,481,793,0.6065573770491803,1.2131147540983607,962,1203,2717,2750,0.5060728744939271,1.0121457489878543,0.291866028708134
ORL,SMR,177,447,0.3959731543624161,0.7919463087248322,354,1203,2717,2750,0.5060728744939271,1.0121457489878543,0.16451969083548032
PHI,3PT,368,1038,0.35452793834296725,1.0635838150289016,1104,1350,2887,3068,0.5313474194665743,1.0626948389331485,0.3595427779702113
PHI,LMR,163,388,0.42010309278350516,0.8402061855670103,326,1350,2887,3068,0.5313474194665743,1.0626948389331485,0.13439556633183236
PHI,RIM,624,967,0.6452947259565667,1.2905894519131336,1248,1350,2887,3068,0.5313474194665743,1.0626948389331485,0.3349497748527884
PHI,SMR,195,494,0.39473684210526316,0.7894736842105263,390,1350,2887,3068,0.5313474194665743,1.0626948389331485,0.17111188084516799
PHX,3PT,332,986,0.3367139959432049,1.0101419878296145,996,1299,2852,2930,0.5136746143057503,1.0273492286115007,0.34572230014025246
PHX,LMR,159,373,0.4262734584450402,0.8525469168900804,318,1299,2852,2930,0.5136746143057503,1.0273492286115007,0.13078541374474054
PHX,RIM,612,1005,0.608955223880597,1.217910447761194,1224,1299,2852,2930,0.5136746143057503,1.0273492286115007,0.3523842917251052
PHX,SMR,196,488,0.4016393442622951,0.8032786885245902,392,1299,2852,2930,0.5136746143057503,1.0273492286115007,0.17110799438990182
POR,3PT,349,967,0.3609100310237849,1.0827300930713546,1047,1296,2830,2941,0.5196113074204947,1.0392226148409893,0.34169611307420494
POR,LMR,189,429,0.4405594405594406,0.8811188811188811,378,1296,2830,2941,0.5196113074204947,1.0392226148409893,0.15159010600706713
POR,RIM,603,1052,0.5731939163498099,1.1463878326996197,1206,1296,2830,2941,0.5196113074204947,1.0392226148409893,0.37173144876325087
POR,SMR,155,382,0.40575916230366493,0.8115183246073299,310,1296,2830,2941,0.5196113074204947,1.0392226148409893,0.13498233215547703
SAC,3PT,367,956,0.38389121338912136,1.151673640167364,1101,1381,2919,3129,0.5359712230215827,1.0719424460431655,0.3275094210346009
SAC,LMR,165,401,0.4114713216957606,0.8229426433915211,330,1381,2919,3129,0.5359712230215827,1.0719424460431655,0.13737581363480644
SAC,RIM,640,1023,0.6256109481915934,1.2512218963831867,1280,1381,2919,3129,0.5359712230215827,1.0719424460431655,0.35046248715313466
SAC,SMR,209,539,0.3877551020408163,0.7755102040816326,418,1381,2919,3129,0.5359712230215827,1.0719424460431655,0.18465227817745802
SAS,3PT,316,789,0.4005069708491762,1.2015209125475286,948,1381,2900,3078,0.5306896551724138,1.0613793103448277,0.27206896551724136
SAS,LMR,282,677,0.41654357459379615,0.8330871491875924,564,1381,2900,3078,0.5306896551724138,1.0613793103448277,0.23344827586206895
SAS,RIM,471,768,0.61328125,1.2265625,942,1381,2900,3078,0.5306896551724138,1.0613793103448277,0.26482758620689656
SAS,SMR,312,666,0.46846846846846846,0.9369369369369369,624,1381,2900,3078,0.5306896551724138,1.0613793103448277,0.2296551724137931
TOR,3PT,387,1128,0.34308510638297873,1.0292553191489362,1161,1464,3032,3315,0.5466688654353562,1.0933377308707124,0.3720316622691293
TOR,LMR,150,313,0.4792332268370607,0.9584664536741214,300,1464,3032,3315,0.5466688654353562,1.0933377308707124,0.10323218997361477
TOR,RIM,702,1091,0.6434463794683777,1.2868927589367554,1404,1464,3032,3315,0.5466688654353562,1.0933377308707124,0.35982849604221634
TOR,SMR,225,500,0.45,0.9,450,1464,3032,3315,0.5466688654353562,1.0933377308707124,0.16490765171503957
UTA,3PT,356,1050,0.33904761904761904,1.0171428571428571,1068,1267,2756,2890,0.5243105950653121,1.0486211901306242,0.38098693759071117
UTA,LMR,102,234,0.4358974358974359,0.8717948717948719,204,1267,2756,2890,0.5243105950653121,1.0486211901306242,0.08490566037735849
UTA,RIM,675,1084,0.6226937269372693,1.2453874538745386,1350,1267,2756,2890,0.5243105950653121,1.0486211901306242,0.39332365747460085
UTA,SMR,134,388,0.34536082474226804,0.6907216494845361,268,1267,2756,2890,0.5243105950653121,1.0486211901306242,0.14078374455732948
WAS,3PT,357,1073,0.33271202236719477,0.9981360671015844,1071,1377,2942,3111,0.5287219578518015,1.057443915703603,0.3647178789938817
WAS,LMR,158,387,0.4082687338501292,0.8165374677002585,316,1377,2942,3111,0.5287219578518015,1.057443915703603,0.13154316791298437
WAS,RIM,697,1090,0.6394495412844037,1.2788990825688074,1394,1377,2942,3111,0.5287219578518015,1.057443915703603,0.37049626104690686
WAS,SMR,165,392,0.42091836734693877,0.8418367346938774,330,1377,2942,3111,0.5287219578518015,1.057443915703603,0.13324269204622705
All,3PT,10498,29807,0.3521991478511759,1.0565974435535277,31494,38939,84743,88385,0.521373747600111,1.0429770010502342,0.3523730628519918
All,LMR,4479,10903,0.41080436577088875,0.8224341924241034,8967,38939,84743,88385,0.521373747600111,1.0429770010502342,0.12801484133544686
All,RIM,18483,30312,0.6097585114806018,1.2195170229612036,36966,38939,84743,88385,0.521373747600111,1.0429770010502342,0.357742448846441
All,SMR,5479,13721,0.3993149187377013,0.7986298374754026,10958,38939,84743,88385,0.521373747600111,1.0429770010502342,0.16186964696612033
