PLAYER,TEAM,GP,W,L,MIN,"PASSES
MADE","PASSES
RECEIVED",AST,"SECONDARY
AST","POTENTIAL
AST","AST
ADJ","AST TO
PASS%","AST TO
PASS% ADJ",Good Passes
Boban Marjanovic,LAC,39,18,21,338,284,307,22,2,34,26,7.7,9.2,58
Bobby Brown,HOU,20,17,3,115,166,218,11,0,28,11,6.6,6.6,39
Bobby Portis,CHI,73,25,48,1643,2103,1921,123,10,209,135,5.8,6.4,342
Bogdan Bogdanovic,SAC,78,26,52,2175,2747,2972,258,38,512,309,9.4,11.2,808
Bojan Bogdanovic,IND,80,47,33,2465,1772,2148,119,15,215,138,6.7,7.8,349
Bradley Beal,WAS,82,43,39,2977,3708,4622,373,92,741,481,10.1,13,1206
Brandan Wright,HOU,28,11,17,381,415,303,13,2,23,16,3.1,3.9,38
Brandon Ingram,LAL,59,27,32,1975,2154,2521,230,34,482,269,10.7,12.5,746
Brandon Jennings,MIL,14,8,6,205,407,437,44,2,73,48,10.8,11.8,119
Brandon Paul,SAS,64,38,26,576,520,505,37,6,73,45,7.1,8.7,116
Briante Weber,MEM,18,8,10,237,413,367,22,1,66,25,5.3,6.1,89
Brice Johnson,MEM,18,2,16,98,128,80,2,1,5,2,1.6,1.6,8
Brook Lopez,LAL,74,34,40,1735,1762,1909,126,13,218,138,7.2,7.8,357
Bruno Caboclo,SAC,12,4,8,106,123,72,4,0,4,5,3.3,4.1,8
Bryn Forbes,SAS,80,46,34,1517,1111,1485,80,20,150,104,7.2,9.4,250
Buddy Hield,SAC,80,27,53,2024,1890,2359,155,19,312,182,8.2,9.6,486
C.J. Williams,LAC,38,17,21,707,543,581,43,5,64,49,7.9,9,112
CJ McCollum,POR,81,48,33,2924,2838,4134,272,40,571,321,9.6,11.3,883
CJ Miles,TOR,70,50,20,1337,892,1117,55,8,90,64,6.2,7.2,153
Caleb Swanigan,POR,27,16,11,189,159,153,14,0,31,14,8.8,8.8,45
Cameron Payne,CHI,25,7,18,582,1149,1226,113,6,218,119,9.8,10.4,337
Caris LeVert,BKN,69,24,45,1802,2449,2965,284,29,559,328,11.6,13.4,872
Carmelo Anthony,OKC,76,46,30,2432,2736,2186,99,11,170,108,3.6,3.9,280
Cedi Osman,CLE,61,35,26,673,643,519,41,6,61,50,6.4,7.8,108
Chandler Parsons,MEM,36,12,24,691,776,809,69,11,127,80,8.9,10.3,207
Channing Frye,LAL,53,28,25,695,907,648,38,6,85,54,4.2,6,129
Charles Cooke,NOP,13,8,5,38,23,33,1,0,1,1,4.3,4.3,2
Cheick Diallo,NOP,52,29,23,581,656,348,19,0,28,18,2.9,2.7,47
Chinanu Onuaku,HOU,1,0,1,22,18,18,1,0,2,1,5.6,5.6,3
Chris Boucher,GSW,1,1,0,1,3,3,0,0,0,0,0,0,0
Chris McCullough,WAS,19,11,8,90,127,82,4,0,8,5,3.1,3.9,12
Chris Paul,HOU,58,50,8,1847,2926,3448,457,35,895,516,15.6,17.6,1387
Clint Capela,HOU,74,62,12,2034,2844,1713,68,14,171,84,2.4,3,253
Cody Zeller,CHA,33,14,19,627,440,424,31,4,57,37,7,8.4,92
Cole Aldrich,MIN,21,14,7,49,59,42,3,0,3,3,5.1,5.1,6
Corey Brewer,OKC,72,32,40,1209,743,743,65,2,131,74,8.7,10,198
Cory Joseph,IND,82,48,34,2210,3339,3679,260,44,526,305,7.8,9.1,830
Courtney Lee,NYK,75,26,49,2278,1942,2435,178,24,358,207,9.2,10.7,560
Cristiano Felicio,CHI,55,13,42,977,828,812,55,6,112,63,6.6,7.6,173
D'Angelo Russell,BKN,48,16,32,1234,2195,2845,249,24,497,287,11.3,13.1,770
D.J. Augustin,ORL,75,23,52,1760,3052,3626,287,35,626,334,9.4,10.9,948
D.J. Wilson,MIL,22,12,10,71,86,60,3,0,9,4,3.5,4.7,12
Dakari Johnson,OKC,30,21,9,148,128,113,7,1,11,8,5.5,6.3,19
Damian Jones,GSW,15,7,8,89,74,67,2,0,7,2,2.7,2.7,9
Damian Lillard,POR,73,44,29,2670,3953,5246,481,56,924,556,12.2,14.1,1461
Damien Wilkins,IND,19,10,9,152,139,145,9,1,15,10,6.5,7.2,25
