Rk,Season,Age,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
189,2017-18,28,BOS,NBA,Marcus Morris,54,21,1447,6.5,15.2,4.4,9.4,2.1,5.8,3.1,3.8,1.1,6.1,7.2,1.8,0.9,0.3,1.6,2.5,18.3,0.429,0.467,0.368,0.499,0.805,0.541
190,2017-18,22,ATL,NBA,Jaylen Morris,6,0,98,4.8,11.8,4,8.1,0.7,3.7,0,0,0.7,5.1,5.9,2.6,0.7,0.4,2.2,0.7,10.3,0.406,0.5,0.2,0.438,,0.438
191,2017-18,26,DET,NBA,Eric Moreland,67,3,805,3,5.5,3,5.5,0,0,0.5,1.3,3.6,8.8,12.4,3.5,1.4,2.3,1.9,5.2,6.4,0.541,0.541,,0.541,0.379,0.531
192,2017-18,28,NOP,NBA,E'Twaun Moore,82,80,2586,5.9,11.6,4.1,7.4,1.8,4.2,0.7,0.9,0.8,2.5,3.3,2.6,1.1,0.2,1.4,2.5,14.2,0.508,0.556,0.425,0.585,0.706,0.593
193,2017-18,22,IND,NBA,Ben Moore,2,0,9,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,16,0,,,,,,
194,2017-18,24,DET,NBA,Luis Montero,2,0,8,0,4.5,0,4.5,0,0,0,0,0,9,9,0,0,0,9,0,0,0,0,,0,,0
195,2017-18,27,TOT,NBA,Greg Monroe,51,14,1040,7.5,13.4,7.5,13.4,0,0,3,4.1,3.8,8.3,12.1,3.9,1.5,0.8,3.3,3.3,18.1,0.565,0.565,,0.565,0.739,0.598
196,2017-18,19,CHO,NBA,Malik Monk,63,0,854,6.4,17.9,3,7.7,3.5,10.2,1.3,1.6,0.3,2.4,2.8,3.8,0.8,0.4,2,2.5,17.7,0.36,0.385,0.342,0.458,0.842,0.477
197,2017-18,24,UTA,NBA,Naz Mitrou-Long,1,0,1,36,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,108,1,,1,1.5,,1.5
198,2017-18,21,UTA,NBA,Donovan Mitchell,79,71,2638,8.1,18.6,5.6,11.1,2.6,7.5,3.3,4.1,0.7,3.3,4,4,1.6,0.4,2.9,2.9,22.1,0.437,0.502,0.34,0.506,0.805,0.541
199,2017-18,26,TOT,NBA,Nikola Mirotic,55,14,1494,7.4,16.5,4.1,7.9,3.3,8.6,2.7,3.3,1.4,8.3,9.8,1.9,1.1,0.9,1.5,2.6,20.7,0.447,0.525,0.377,0.546,0.818,0.577
200,2017-18,32,DEN,NBA,Paul Millsap,38,37,1143,6.4,13.7,5.1,10.1,1.2,3.6,3.5,5.1,2,5.7,7.7,3.2,1.2,1.4,2.3,3.1,17.5,0.464,0.506,0.345,0.509,0.696,0.549
