Player,POS.,AGE,TYPE,FROM,TO,YRS,DOLLARS,AVG. SALARY,2018 CAP HIT,Season,Cap,PercCap
Michael Carter-Williams,PG,26,UFA,CHA,HOU,1,"$1,757,429","$1,757,429","$1,512,601",2017-18,101900000,0.017
Nik Stauskas,SG,24,UFA,BKN,POR,1,"$1,621,415","$1,621,415","$1,512,601",2017-18,101900000,0.016
Luke Kornet,C,22,RFA,NYK,NYK,1,"$1,619,260","$1,619,260","$1,619,260",2017-18,101900000,0.016
Kevon Looney,SF,22,UFA,GSW,GSW,1,"$1,567,007","$1,567,007","$1,512,601",2017-18,101900000,0.015
Salah Mejri,C,32,UFA,DAL,DAL,1,"$1,567,007","$1,567,007","$1,512,601",2017-18,101900000,0.015
Aaron Brooks,PG,33,UFA,IND,MIN,1,"$2,116,955","$2,116,955","$1,471,382",2016-17,99093000,0.021
Alan Williams,PF,25,RFA,PHX,PHX,3,"$17,000,000","$5,666,667","$6,000,000",2016-17,99093000,0.057
Amir Johnson,PF,31,UFA,BOS,PHI,1,"$11,000,000","$11,000,000","$11,000,000",2016-17,99093000,0.111
Andre Iguodala,SF,34,UFA,GSW,GSW,3,"$48,000,000","$16,000,000",-,2016-17,99093000,0.161
Andre Roberson,SG,26,RFA,OKC,OKC,3,"$30,000,000","$10,000,000","$9,259,260",2016-17,99093000,0.101
Anthony Morrow,SG,32,UFA,CHI,POR,1,"$2,116,955","$2,116,955","$1,471,382",2016-17,99093000,0.021
Anthony Tolliver,PF,33,UFA,SAC,DET,1,"$3,290,000","$3,290,000","$3,290,000",2016-17,99093000,0.033
Aron Baynes,C,31,UFA,DET,BOS,1,"$4,328,000","$4,328,000","$4,328,000",2016-17,99093000,0.044
Arron Afflalo,SG,32,UFA,SAC,ORL,1,"$2,328,652","$2,328,652","$12,500,000",2016-17,99093000,0.023
Ben McLemore,SG,25,UFA,SAC,MEM,2,"$10,660,000","$5,330,000",-,2016-17,99093000,0.054
Blake Griffin,PF,29,UFA,LAC,LAC,5,"$171,174,820","$34,234,964",-,2016-17,99093000,0.345
Bobby Brown,PG,33,RFA,HOU,HOU,1,"$1,524,305","$1,524,305","$1,471,382",2016-17,99093000,0.015
Bojan Bogdanovic,SF,29,UFA,WAS,IND,2,"$21,000,000","$10,500,000",-,2016-17,99093000,0.106
Briante Weber,SG,25,UFA,CHA,LAL,1,"$1,471,382","$1,471,382","$1,471,382",2016-17,99093000,0.015
C.J. Miles,SF,31,UFA,IND,TOR,3,"$25,000,000","$8,333,333",-,2016-17,99093000,0.084
Cristiano Felicio,PF,25,RFA,CHI,CHI,4,"$32,000,000","$8,000,000","$7,843,500",2016-17,99093000,0.081
Damien Wilkins,SG,38,UFA,,IND,1,"$2,116,955","$2,116,955","$1,471,382",2016-17,99093000,0.021
Damjan Rudez,SF,32,RFA,ORL,ORL,1,"$1,524,305","$1,524,305","$1,471,382",2016-17,99093000,0.015
Danilo Gallinari,SF,29,UFA,DEN,LAC,3,"$64,762,737","$21,587,579","$20,559,599",2016-17,99093000,0.218
Dante Cunningham,PF,31,UFA,NOP,NOP,1,"$2,300,000","$2,300,000",-,2016-17,99093000,0.023
Darren Collison,PG,30,UFA,SAC,IND,2,"$20,000,000","$10,000,000",-,2016-17,99093000,0.101
David West,PF,37,UFA,GSW,GSW,1,"$2,328,652","$2,328,652","$1,499,187",2016-17,99093000,0.023
Derrick Rose,PG,29,UFA,NYK,CLE,1,"$2,106,470","$2,106,470","$1,471,382",2016-17,99093000,0.021
Dewayne Dedmon,C,28,UFA,SAS,ATL,2,"$14,100,000","$7,050,000",-,2016-17,99093000,0.071
Diamond Stone,C,21,UFA,ATL,CHI,2,"$2,857,562","$1,428,781","$1,312,611",2016-17,99093000,0.014
Dion Waiters,SG,26,UFA,MIA,MIA,4,"$52,000,000","$13,000,000","$2,898,000",2016-17,99093000,0.131
Dirk Nowitzki,PF,40,UFA,DAL,DAL,1,"$5,000,000","$5,000,000",-,2016-17,99093000,0.050
Donald Sloan,PG,30,UFA,,WAS,1,"$1,709,538","$1,709,538","$1,471,382",2016-17,99093000,0.017
Eric Moreland,PF,26,UFA,,DET,3,"$5,478,899","$1,826,300","$845,059",2016-17,99093000,0.018
Ersan Ilyasova,PF,31,UFA,ATL,ATL,1,"$6,000,000","$6,000,000","$6,000,000",2016-17,99093000,0.061
George Hill,PG,32,UFA,UTH,SAC,3,"$57,000,000","$19,000,000",-,2016-17,99093000,0.192
Georges Niang,SF,25,UFA,IND,GSW,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Gerald Green,SG,32,UFA,BOS,MIL,1,"$2,328,652","$2,328,652",-,2016-17,99093000,0.023
Gordon Hayward,SG,28,UFA,UTH,BOS,4,"$127,829,970","$31,957,493","$29,727,900",2016-17,99093000,0.323
Ian Clark,SG,27,UFA,GSW,NOP,1,"$1,577,230","$1,577,230","$1,471,382",2016-17,99093000,0.016
J.J. Redick,SG,34,UFA,LAC,PHI,1,"$23,000,000","$23,000,000",-,2016-17,99093000,0.232
Jamal Crawford,SG,38,UFA,ATL,MIN,2,"$8,872,400","$4,436,200","$13,253,012",2016-17,99093000,0.045
James Johnson,PF,31,UFA,MIA,MIA,3,"$43,295,100","$14,431,700",-,2016-17,99093000,0.146
JaMychal Green,PF,28,RFA,MEM,MEM,2,"$16,400,000","$8,200,000",-,2016-17,99093000,0.083
Jarrett Jack,PG,34,UFA,,NYK,1,"$2,328,652","$2,328,652","$57,672",2016-17,99093000,0.023
Jarrod Uthoff,PF,25,UFA,HOU,IND,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Jason Terry,SG,40,UFA,MIL,MIL,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
JaVale McGee,C,30,UFA,GSW,GSW,1,"$2,116,955","$2,116,955","$980,431",2016-17,99093000,0.021
Jeff Green,SF,31,UFA,ORL,CLE,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
Jeff Teague,PG,30,UFA,IND,MIN,3,"$57,000,000","$19,000,000",-,2016-17,99093000,0.192
Jeff Withey,C,28,UFA,UTH,DAL,2,"$3,372,245","$1,686,123","$1,577,230",2016-17,99093000,0.017
Jodie Meeks,SG,30,UFA,ORL,WAS,2,"$6,744,500","$3,372,250","$3,290,000",2016-17,99093000,0.034
Joe Ingles,SF,30,RFA,UTH,UTH,4,"$52,000,000","$13,000,000","$2,150,000",2016-17,99093000,0.131
Joffrey Lauvergne,PF,26,UFA,CHI,SAS,2,"$3,180,397","$1,590,199","$1,524,305",2016-17,99093000,0.016
Jonas Jerebko,PF,31,UFA,BOS,UTH,2,"$8,200,000","$4,100,000",-,2016-17,99093000,0.041
Jonathon Simmons,SF,28,UFA,SAS,ORL,3,"$20,000,000","$6,666,667",-,2016-17,99093000,0.067
Jordan Mickey,PF,23,UFA,BOS,MIA,1,"$1,471,382","$1,471,382","$1,471,382",2016-17,99093000,0.015
Jose Calderon,PG,36,UFA,ATL,CLE,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
Jrue Holiday,PG,28,UFA,NOP,NOP,5,"$131,805,000","$26,361,000","$25,686,667",2016-17,99093000,0.266
Justin Holiday,SG,29,UFA,NYK,CHI,2,"$9,000,000","$4,500,000",-,2016-17,99093000,0.045
K.J. McDaniels,SG,25,UFA,BKN,TOR,1,"$1,524,305","$1,524,305","$1,471,382",2016-17,99093000,0.015
Kelly Olynyk,C,27,UFA,BOS,MIA,4,"$50,000,000","$12,500,000",-,2016-17,99093000,0.126
Kentavious Caldwell-Pope,SG,25,UFA,DET,LAL,1,"$17,745,894","$17,745,894",-,2016-17,99093000,0.179
Kevin Durant,SF,29,UFA,GSW,GSW,2,"$51,250,000","$25,625,000",-,2016-17,99093000,0.259
Kyle Korver,SG,37,UFA,CLE,CLE,3,"$22,060,000","$7,353,333","$7,000,000",2016-17,99093000,0.074
Kyle Lowry,PG,32,UFA,TOR,TOR,3,"$100,000,000","$33,333,333",-,2016-17,99093000,0.336
Langston Galloway,PG,26,RFA,SAC,DET,3,"$21,000,000","$7,000,000","$6,666,667",2016-17,99093000,0.071
Luc Richard Mbah a Moute,PF,31,UFA,LAC,HOU,1,"$2,116,955","$2,116,955","$1,471,382",2016-17,99093000,0.021
Luke Babbitt,SF,29,UFA,MIA,ATL,1,"$1,974,159","$1,974,159",-,2016-17,99093000,0.020
Marcus Georges-Hunt,SG,24,UFA,ORL,MIN,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Marreese Speights,PF,30,UFA,LAC,ORL,1,"$2,116,955","$2,116,955",-,2016-17,99093000,0.021
Marshall Plumlee,PF,25,UFA,NYK,LAC,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Mason Plumlee,C,28,RFA,DEN,DEN,3,"$41,000,000","$13,666,667",-,2016-17,99093000,0.138
Michael Beasley,SF,29,UFA,MIL,NYK,1,"$2,116,955","$2,116,955",-,2016-17,99093000,0.021
Michael Carter-Williams,PG,26,UFA,CHI,CHA,1,"$2,700,000","$2,700,000",-,2016-17,99093000,0.027
Michael Gbinije,SG,25,UFA,DET,GSW,1,"$1,312,611","$1,312,611","$1,312,611",2016-17,99093000,0.013
Mike Muscala,PF,27,UFA,ATL,ATL,2,"$10,000,000","$5,000,000","$5,000,000",2016-17,99093000,0.050
Mike Scott,PF,30,UFA,PHX,WAS,1,"$1,709,538","$1,709,538",-,2016-17,99093000,0.017
Nene Hilario,C,35,UFA,HOU,HOU,3,"$10,954,440","$3,651,480","$2,898,000",2016-17,99093000,0.037
Nerlens Noel,C,24,RFA,DAL,DAL,1,"$4,187,598","$4,187,598","$4,187,598",2016-17,99093000,0.042
Nick Collison,PF,37,UFA,OKC,OKC,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
Nick Young,SG,33,UFA,LAL,GSW,1,"$5,192,000","$5,192,000",-,2016-17,99093000,0.052
Nikola Mirotic,PF,27,RFA,CHI,CHI,1,"$12,500,000","$12,500,000",-,2016-17,99093000,0.126
Omri Casspi,SF,30,UFA,MIN,GSW,1,"$2,106,470","$2,106,470",-,2016-17,99093000,0.021
Otto Porter Jr.,SF,25,RFA,WAS,BKN,4,"$106,524,975","$26,631,244","$24,773,250",2016-17,99093000,0.269
P.J. Tucker,SF,33,UFA,TOR,HOU,4,"$31,878,148","$7,969,537",-,2016-17,99093000,0.080
Patrick Mills,PG,29,UFA,SAS,SAS,4,"$49,714,285","$12,428,571","$10,714,286",2016-17,99093000,0.125
Patrick Patterson,PF,29,UFA,TOR,OKC,3,"$16,354,800","$5,451,600",-,2016-17,99093000,0.055
Pau Gasol,PF,37,UFA,SAS,SAS,3,"$48,800,000","$16,266,667","$16,000,000",2016-17,99093000,0.164
Paul Millsap,PF,33,UFA,ATL,DEN,2,"$61,000,000","$30,500,000",-,2016-17,99093000,0.308
Quinn Cook,PG,25,UFA,NOP,ATL,2,"$2,857,562","$1,428,781","$1,312,611",2016-17,99093000,0.014
Rajon Rondo,PG,32,UFA,CHI,NOP,1,"$3,300,000","$3,300,000",-,2016-17,99093000,0.033
Ramon Sessions,PG,32,UFA,CHA,NYK,1,"$2,328,652","$2,328,652","$1,471,382",2016-17,99093000,0.023
Raymond Felton,PG,34,UFA,LAC,OKC,1,"$2,328,652","$2,328,652",-,2016-17,99093000,0.023
Reggie Bullock,SF,27,RFA,DET,DET,2,"$5,000,000","$2,500,000","$2,500,000",2016-17,99093000,0.025
Ron Baker,SG,25,UFA,NYK,NYK,2,"$8,872,400","$4,436,200","$4,328,000",2016-17,99093000,0.045
Royce O'Neale,SF,25,,,UTH,3,"$3,812,377","$1,270,792",-,2016-17,99093000,0.013
Rudy Gay,SF,31,UFA,SAC,SAS,2,"$17,232,300","$8,616,150",-,2016-17,99093000,0.087
Serge Ibaka,PF,28,UFA,TOR,TOR,3,"$65,000,000","$21,666,667",-,2016-17,99093000,0.219
Shabazz Muhammad,SF,25,UFA,MIN,MIN,2,"$3,372,245","$1,686,123","$1,577,230",2016-17,99093000,0.017
Shane Larkin,PG,25,UFA,,BOS,1,"$1,524,305","$1,524,305",-,2016-17,99093000,0.015
Shaun Livingston,PG,32,UFA,GSW,GSW,3,"$23,692,308","$7,897,436",-,2016-17,99093000,0.080
Shelvin Mack,PG,28,UFA,UTH,ORL,2,"$12,000,000","$6,000,000",-,2016-17,99093000,0.061
