Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
32,Manu Ginobili,2004-05,27,SAS,NBA,23,2.1,15,772,145,286,103,190,42,96,147,185,19,114,133,97,28,6,66,69,479,0.507,0.542,0.438,0.58,0.795,0.652
33,Dwight Howard,2008-09,23,ORL,NBA,23,2.1,23,903,161,268,161,266,0,2,145,228,99,254,353,43,20,60,67,102,467,0.601,0.605,0,0.601,0.636,0.634
34,Magic Johnson,1990-91,31,LAL,NBA,19,2.1,19,823,118,268,97,197,21,71,157,178,23,131,154,240,23,0,77,43,414,0.44,0.492,0.296,0.479,0.882,0.598
35,Scottie Pippen,1995-96,30,CHI,NBA,18,2.1,18,742,112,287,82,182,30,105,51,80,62,91,153,107,47,16,41,51,305,0.39,0.451,0.286,0.443,0.638,0.473
36,Isiah Thomas,1989-90,28,DET,NBA,20,2.1,20,758,148,320,116,252,32,68,81,102,21,88,109,163,43,7,72,65,409,0.463,0.46,0.471,0.513,0.794,0.56
37,Larry Bird,1980-81,24,BOS,NBA,17,2,,750,147,313,144,305,3,8,76,85,49,189,238,103,39,17,62,53,373,0.47,0.472,0.375,0.474,0.894,0.532
38,Larry Bird,1986-87,30,BOS,NBA,23,2,23,1015,216,454,202,413,14,41,176,193,41,190,231,165,27,19,71,55,622,0.476,0.489,0.341,0.491,0.912,0.577
39,Stephen Curry,2016-17,28,GSW,NBA,17,2,17,601,151,312,79,140,72,172,103,114,22,84,106,114,34,4,58,37,477,0.484,0.564,0.419,0.599,0.904,0.659
40,Kevin Durant,2011-12,23,OKC,NBA,20,2,20,837,198,383,157,273,41,110,133,154,13,135,148,74,29,24,63,51,570,0.517,0.575,0.373,0.57,0.864,0.632
Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,Pau Gasol,2008-09,28,LAL,NBA,23,2,23,931,160,276,160,276,0,0,100,140,68,181,249,58,19,45,44,69,420,0.58,0.58,,0.58,0.714,0.622
42,Draymond Green,2015-16,25,GSW,NBA,23,2,23,879,119,276,81,172,38,104,79,107,38,190,228,138,37,41,56,81,355,0.431,0.471,0.365,0.5,0.738,0.549
43,Magic Johnson,1986-87,27,LAL,NBA,18,2,18,666,146,271,144,261,2,10,98,118,28,111,139,219,31,7,51,37,392,0.539,0.552,0.2,0.542,0.831,0.607
44,Dwyane Wade,2010-11,29,MIA,NBA,21,2,21,828,181,373,167,321,14,52,139,179,43,107,150,92,34,28,64,53,515,0.485,0.52,0.269,0.504,0.777,0.57
45,Ben Wallace,2003-04,29,DET,NBA,23,2,23,924,93,205,93,202,0,3,50,117,95,233,328,44,44,56,37,58,236,0.454,0.46,0,0.454,0.427,0.46
46,Russell Westbrook,2013-14,25,OKC,NBA,19,2,19,735,167,398,139,298,28,100,145,164,45,93,138,153,41,6,83,62,507,0.42,0.466,0.28,0.455,0.884,0.539
47,Kobe Bryant,2007-08,29,LAL,NBA,21,1.9,21,863,222,463,190,357,32,106,157,194,18,101,119,117,35,8,70,59,633,0.479,0.532,0.302,0.514,0.809,0.577
48,Kobe Bryant,2009-10,31,LAL,NBA,23,1.9,23,923,234,511,185,380,49,131,154,183,26,112,138,126,31,16,79,75,671,0.458,0.487,0.374,0.506,0.842,0.567
49,Julius Erving,1981-82,31,PHI,NBA,21,1.9,,780,168,324,167,318,1,6,124,165,57,99,156,99,37,37,67,55,461,0.519,0.525,0.167,0.52,0.752,0.581
50,Pau Gasol,2009-10,29,LAL,NBA,23,1.9,23,913,165,306,165,303,0,3,120,158,92,163,255,81,9,48,44,63,450,0.539,0.545,0,0.539,0.759,0.599
51,Horace Grant,1991-92,26,CHI,NBA,22,1.9,22,856,99,183,99,181,0,2,51,76,76,118,194,66,24,39,21,68,249,0.541,0.547,0,0.541,0.671,0.575
52,Michael Jordan,1995-96,32,CHI,NBA,18,1.9,18,733,187,407,162,345,25,62,153,187,31,58,89,74,33,6,42,49,552,0.459,0.47,0.403,0.49,0.818,0.564
53,Shaquille O'Neal,2003-04,31,LAL,NBA,22,1.9,22,917,182,307,182,307,0,0,109,254,91,200,291,55,7,61,55,90,473,0.593,0.593,,0.593,0.429,0.565
54,Scottie Pippen,1997-98,32,CHI,NBA,21,1.9,21,836,122,294,104,215,18,79,91,134,49,101,150,110,45,20,51,66,353,0.415,0.484,0.228,0.446,0.679,0.5
55,Rajon Rondo,2011-12,25,BOS,NBA,19,1.9,19,810,141,301,133,271,8,30,39,56,35,93,128,227,45,2,72,40,329,0.468,0.491,0.267,0.482,0.696,0.505
56,Clyde Drexler,1989-90,27,POR,NBA,21,1.8,21,853,172,390,163,349,9,41,96,124,63,88,151,150,53,18,67,72,449,0.441,0.467,0.22,0.453,0.774,0.505
57,Clyde Drexler,1990-91,28,POR,NBA,16,1.8,16,633,128,269,113,213,15,56,76,98,40,89,129,129,34,16,61,56,347,0.476,0.531,0.268,0.504,0.776,0.556
58,Tim Duncan,1998-99,22,SAS,NBA,17,1.8,17,733,144,282,144,279,0,3,107,143,55,140,195,48,13,45,52,50,395,0.511,0.516,0,0.511,0.748,0.573
59,Allen Iverson,2000-01,25,PHI,NBA,22,1.8,22,1016,257,661,209,519,48,142,161,208,15,89,104,134,52,7,63,55,723,0.389,0.403,0.338,0.425,0.774,0.48
60,Magic Johnson,1987-88,28,LAL,NBA,24,1.8,24,965,169,329,162,315,7,14,132,155,32,98,130,303,34,4,83,61,477,0.514,0.514,0.5,0.524,0.852,0.6
Rk,Player,Season,Age,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
61,Magic Johnson,1979-80,20,LAL,NBA,16,1.8,,658,103,199,101,191,2,8,85,106,52,116,168,151,49,6,65,47,293,0.518,0.529,0.25,0.523,0.802,0.596
62,Magic Johnson,1983-84,24,LAL,NBA,21,1.8,,837,151,274,151,267,0,7,80,100,26,113,139,284,42,20,79,71,382,0.551,0.566,0,0.551,0.8,0.601
63,Michael Jordan,1997-98,34,CHI,NBA,21,1.8,21,872,243,526,230,483,13,43,181,223,33,74,107,74,32,12,45,47,680,0.462,0.476,0.302,0.474,0.812,0.545
64,Jason Kidd,2001-02,28,NJN,NBA,20,1.8,20,803,147,354,130,264,17,90,80,99,42,122,164,182,34,8,67,40,391,0.415,0.492,0.189,0.439,0.808,0.492
65,Jason Kidd,2002-03,29,NJN,NBA,20,1.8,20,852,137,341,103,237,34,104,94,114,36,118,154,163,36,4,79,46,402,0.402,0.435,0.327,0.452,0.825,0.514
66,Karl Malone,1997-98,34,UTA,NBA,20,1.8,20,795,198,420,198,417,0,3,130,165,47,170,217,68,22,20,60,69,526,0.471,0.475,0,0.471,0.788,0.534
67,Hakeem Olajuwon,1985-86,23,HOU,NBA,20,1.8,20,766,205,387,205,386,0,1,127,199,101,135,236,39,40,69,43,87,537,0.53,0.531,0,0.53,0.638,0.566
