Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
31,Pau Gasol,2004,2018,TOT,NBA,136,7.8,122,4825,812,1600,801,1563,11,37,463,625,373,873,1246,438,71,233,250,356,2098,0.508,0.512,0.297,0.511,0.741,0.559
32,Stephen Curry,2013,2018,GSW,NBA,86,7.7,84,3227,752,1652,396,778,356,874,378,425,71,377,448,551,151,23,313,203,2238,0.455,0.509,0.407,0.563,0.889,0.608
33,Kevin McHale,1981,1993,BOS,NBA,169,7.7,84,5716,1204,2145,1196,2124,8,21,766,972,456,797,1253,274,65,281,326,571,3182,0.561,0.563,0.381,0.563,0.788,0.618
34,Kareem Abdul-Jabbar,1980,1989,LAL,NBA,158,7.6,90,5327,1370,2557,1370,2553,0,4,640,846,355,833,1188,446,140,354,404,543,3380,0.536,0.537,0,0.536,0.757,0.577
35,James Harden,2010,2018,TOT,NBA,105,7.5,62,3650,684,1629,454,923,230,706,708,812,74,474,548,577,181,47,348,319,2306,0.42,0.492,0.326,0.49,0.872,0.58
36,Draymond Green,2013,2018,GSW,NBA,97,7.4,83,3360,411,956,282,566,129,390,256,346,174,728,902,533,157,141,237,355,1207,0.43,0.498,0.331,0.497,0.74,0.545
37,Jeff Hornacek,1989,2000,TOT,NBA,140,7.1,140,4766,741,1578,619,1296,122,282,488,551,136,391,527,525,170,25,231,384,2092,0.47,0.478,0.433,0.508,0.886,0.575
38,Rasheed Wallace,1997,2010,TOT,NBA,177,6.9,154,5838,917,2065,727,1525,190,540,360,502,236,863,1099,264,145,225,228,645,2384,0.444,0.477,0.352,0.49,0.717,0.521
39,James Worthy,1984,1993,LAL,NBA,143,6.8,117,5297,1267,2329,1253,2262,14,67,474,652,257,490,747,463,177,96,298,352,3022,0.544,0.554,0.209,0.547,0.727,0.578
40,Rajon Rondo,2008,2018,TOT,NBA,105,6.6,105,3944,601,1358,564,1230,37,128,232,359,172,469,641,981,201,19,301,266,1471,0.443,0.459,0.289,0.456,0.646,0.485
Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
41,Kawhi Leonard,2012,2017,SAS,NBA,87,6.5,87,2908,523,1017,398,724,125,293,261,325,145,491,636,169,147,55,122,189,1432,0.514,0.55,0.427,0.576,0.803,0.617
42,Julius Erving,1980,1987,PHI,NBA,103,6.3,30,3800,806,1699,799,1663,7,36,504,651,250,455,705,416,161,181,323,306,2123,0.474,0.48,0.194,0.476,0.774,0.535
43,Gary Payton,1991,2007,TOT,NBA,154,5.7,129,5481,855,1938,718,1503,137,435,308,436,148,427,575,811,216,32,297,434,2155,0.441,0.478,0.315,0.477,0.706,0.506
44,Michael Cooper,1980,1990,LAL,NBA,168,5.6,4,4744,582,1244,458,928,124,316,293,355,152,422,574,703,203,96,252,474,1581,0.468,0.494,0.392,0.518,0.825,0.565
45,Tayshaun Prince,2003,2014,TOT,NBA,140,5.6,127,4977,618,1447,515,1147,103,300,263,340,227,505,732,368,109,86,181,244,1602,0.427,0.449,0.343,0.463,0.774,0.502
46,Maurice Cheeks,1980,1993,TOT,NBA,124,5.5,46,4518,706,1388,702,1347,4,41,325,410,101,317,418,859,258,41,289,295,1741,0.509,0.521,0.098,0.51,0.793,0.555
47,Derek Fisher,1997,2014,TOT,NBA,259,5.5,158,6856,735,1740,450,1025,285,715,391,486,74,504,578,598,272,16,237,645,2146,0.422,0.439,0.399,0.504,0.805,0.549
48,Andre Iguodala,2005,2018,TOT,NBA,122,5.5,66,4051,477,1060,344,682,133,378,244,409,128,480,608,486,169,46,192,239,1331,0.45,0.504,0.352,0.513,0.597,0.537
49,Patrick Ewing,1988,2002,TOT,NBA,139,5.4,135,5207,1104,2353,1096,2330,8,23,597,831,337,1098,1435,275,122,303,345,522,2813,0.469,0.47,0.348,0.471,0.718,0.517
50,Dan Majerle,1989,2001,TOT,NBA,123,5.4,53,4239,508,1222,327,709,181,513,244,324,153,456,609,304,164,52,128,285,1441,0.416,0.461,0.353,0.49,0.753,0.528
51,Al Horford,2008,2018,TOT,NBA,111,5.3,110,3849,628,1234,572,1098,56,136,216,277,220,675,895,380,91,136,179,279,1528,0.509,0.521,0.412,0.532,0.78,0.563
52,Charles Oakley,1986,2001,TOT,NBA,144,5.3,142,5108,584,1272,569,1231,15,41,367,486,519,926,1445,283,178,42,308,503,1550,0.459,0.462,0.366,0.465,0.755,0.522
53,Dennis Rodman,1987,1998,TOT,NBA,169,5.1,89,4789,442,902,435,855,7,47,190,352,626,1050,1676,205,106,97,258,630,1081,0.49,0.509,0.149,0.494,0.54,0.511
54,Vlade Divac,1990,2004,TOT,NBA,121,5,113,3728,541,1128,528,1074,13,54,373,510,307,606,913,286,117,165,260,439,1468,0.48,0.492,0.241,0.485,0.731,0.543
55,Dwight Howard,2007,2017,TOT,NBA,95,4.9,95,3514,626,1069,626,1065,0,4,497,912,383,932,1315,132,84,234,295,381,1749,0.586,0.588,0,0.586,0.545,0.595
56,Steve Nash,1997,2013,TOT,NBA,120,4.8,113,4289,749,1584,571,1146,178,438,396,440,68,354,422,1061,66,14,383,239,2072,0.473,0.498,0.406,0.529,0.9,0.583
57,Robert Parish,1981,1997,TOT,NBA,174,4.8,109,5938,1080,2131,1080,2130,0,1,539,744,528,1134,1662,223,138,298,365,575,2699,0.507,0.507,0,0.507,0.724,0.549
58,Terry Porter,1986,2002,TOT,NBA,124,4.7,90,3939,620,1320,469,914,151,406,437,529,73,298,371,624,137,14,236,245,1828,0.47,0.513,0.372,0.527,0.826,0.589
59,Bryon Russell,1994,2005,TOT,NBA,105,4.7,63,3081,355,806,229,461,126,345,202,266,89,355,444,135,110,28,85,249,1038,0.44,0.497,0.365,0.519,0.759,0.562
60,Byron Scott,1984,1997,TOT,NBA,183,4.7,122,5365,934,1937,800,1598,134,339,449,548,136,400,536,390,226,30,266,445,2451,0.482,0.501,0.395,0.517,0.819,0.563
Rk,Player,From,To,Tm,Lg,G,VORP,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
61,Paul George,2011,2018,TOT,NBA,71,4.6,71,2763,443,1051,288,627,155,424,341,422,67,441,508,275,120,41,212,225,1382,0.422,0.459,0.366,0.495,0.808,0.559
62,Shawn Marion,2000,2015,TOT,NBA,109,4.6,103,3837,617,1352,546,1129,71,223,214,263,260,679,939,158,128,127,140,277,1519,0.456,0.484,0.318,0.483,0.814,0.517
63,Derrick McKey,1988,2002,TOT,NBA,142,4.5,72,3786,436,939,397,810,39,129,265,356,229,397,626,319,111,88,225,436,1176,0.464,0.49,0.302,0.485,0.744,0.537
64,Anfernee Hardaway,1994,2004,TOT,NBA,64,4.4,63,2640,456,1018,355,752,101,266,291,390,101,202,303,394,119,48,188,197,1304,0.448,0.472,0.38,0.498,0.746,0.548
65,Ron Harper,1988,2001,TOT,NBA,112,4.4,98,3000,397,883,340,688,57,195,162,232,126,291,417,305,141,76,121,245,1013,0.45,0.494,0.292,0.482,0.698,0.514
66,Sam Perkins,1985,2001,TOT,NBA,167,4.4,84,4785,656,1479,504,1060,152,419,397,506,255,681,936,246,118,126,207,441,1861,0.444,0.475,0.363,0.495,0.785,0.547
67,Bill Laimbeer,1984,1992,DET,NBA,113,4.3,107,3735,549,1174,505,1037,44,137,212,259,257,840,1097,195,84,83,143,408,1354,0.468,0.487,0.321,0.486,0.819,0.526
68,Allen Iverson,1999,2008,TOT,NBA,71,4.2,71,3203,755,1882,632,1506,123,376,478,626,59,214,273,425,147,14,221,157,2111,0.401,0.42,0.327,0.434,0.764,0.489
69,Shawn Kemp,1991,2003,TOT,NBA,88,4.2,78,2937,514,1032,511,1017,3,15,491,616,314,539,853,161,99,137,275,346,1522,0.498,0.502,0.2,0.5,0.797,0.584
70,Cedric Maxwell,1980,1988,TOT,NBA,102,4.2,0,2731,375,688,375,686,0,2,366,471,233,320,553,194,74,50,172,260,1116,0.545,0.547,0,0.545,0.777,0.623
71,Lamar Odom,2004,2013,TOT,NBA,108,4.2,53,3599,533,1112,476,924,57,188,284,442,255,700,955,264,72,112,214,370,1407,0.479,0.515,0.303,0.505,0.643,0.538
72,Vince Carter,2000,2017,TOT,NBA,88,4.1,66,3033,557,1340,438,988,119,352,360,452,131,346,477,295,94,47,168,257,1593,0.416,0.443,0.338,0.46,0.796,0.518
73,Danny Green,2011,2018,SAS,NBA,100,4.1,94,2504,305,708,114,248,191,460,42,59,54,269,323,116,101,85,85,196,843,0.431,0.46,0.415,0.566,0.712,0.574
