,PID,FGA,FGM,EFG_PCT,FGA_PG,AST-FGM,AST-3PM,AST_EFG,AST_EFG2,UAST-FGM,UAST-3PM,UAST_EFG,PLAYER,T_FGA_FREQ,T_EFG,wtd_T_EFG,VT_FGA_FREQ,VT_EFG,wtd_VT_EFG,RA_FGM,RA_PCT_AST_FGM,RA_FGA,RA_EFG,RA_EFG2,O_FGA_FREQ,O_EFG,wtd_O_EFG,WO_FGA_FREQ,WO_EFG,wtd_WO_EFG,wtd_WO_EFG2,wtd_O_EFG2,EAZY_EFG,BIG_EFG,BIG_EFG2,BIG_EFG3,resid
0,203518,291,115,0.54,3.9,101,84,0.49140893470790376,0.1550946814381441,14,0,0.048109965635738834,"Abrines, Alex",0.154,0.381,0.058674,0.04,0.364,0.01456,23,0.565,40,0.04465635738831615,-0.07677930852986331,0.36,0.648,0.23328,0.445,0.5870000000000001,0.26121500000000003,0.11893636388888895,0.08781995555555552,0.25764007302405495,0.2823599269759451,0.2549283076472748,0.073234,-0.03146992406899668
1,203112,365,130,0.496,5.2,125,101,0.4808219178082192,0.14450766453845953,5,1,0.015068493150684932,"Acy, Quincy",0.124,0.405,0.05022,0.026000000000000002,0.444,0.011544,21,0.857,46,0.04930684931506849,-0.07212881660311096,0.29100000000000004,0.439,0.12774900000000003,0.5589999999999999,0.589,0.32925099999999996,0.18697236388888888,-0.017711044444444435,0.24678219178082192,0.24921780821917808,0.254359832620207,0.061764,-0.06999164913763053
2,203500,712,448,0.629,9.4,310,0,0.4353932584269663,0.09907900515720663,138,0,0.19382022471910113,"Adams, Steven",0.5670000000000001,0.6609999999999999,0.374787,0.22899999999999998,0.6709999999999999,0.15365899999999996,359,0.657,530,0.3312682584269663,0.20983259250878683,0.166,0.713,0.118358,0.038,0.84,0.03192,-0.11035863611111107,-0.02710204444444446,0.22923487921348312,0.3997651207865169,0.45754908288956214,0.528446,0.06317539688367685
3,1628389,340,174,0.512,4.9,122,0,0.3588235294117647,0.02250927614200504,52,0,0.15294117647058825,"Adebayo, Bam",0.47200000000000003,0.575,0.2714,0.272,0.524,0.14252800000000002,146,0.6990000000000001,233,0.3001588235294118,0.17872315761123236,0.155,0.667,0.103385,0.1,0.419,0.0419,-0.10037863611111109,-0.04207504444444446,0.20106683823529414,0.31093316176470587,0.4532212468023181,0.41392799999999996,-0.007034847981671977
4,201167,162,65,0.485,3.1,49,25,0.37962962962962965,0.043315376359869984,16,2,0.10493827160493827,"Afflalo, Arron",0.35100000000000003,0.40700000000000003,0.142857,0.057999999999999996,0.667,0.038686,11,0.818,20,0.05554320987654321,-0.06589245604163625,0.39,0.5920000000000001,0.23088000000000003,0.201,0.484,0.09728400000000001,-0.04499463611111107,0.08541995555555557,0.19083420987654323,0.2941657901234568,0.46715176023732174,0.181543,-0.01635353396033612
5,200746,1347,687,0.52,18.0,356,26,0.2739420935412027,-0.062372159728556975,331,1,0.24610244988864144,"Aldridge, LaMarcus",0.503,0.56,0.28168000000000004,0.125,0.552,0.069,296,0.5539999999999999,419,0.12174016332590941,0.0003044974077299478,0.22399999999999998,0.514,0.11513599999999999,0.14800000000000002,0.48700000000000004,0.07207600000000002,-0.07020263611111106,-0.030324044444444476,0.14572356421677804,0.374276435783222,0.6825943428763825,0.35068000000000005,0.002098547048031918
6,1628386,397,234,0.596,5.5,198,5,0.5050377833753149,0.16872353010555524,36,0,0.0906801007556675,"Allen, Jarrett",0.524,0.665,0.34846000000000005,0.198,0.629,0.124542,187,0.845,280,0.3980226700251889,0.2765870041070094,0.17300000000000001,0.721,0.12473300000000001,0.105,0.581,0.061005,-0.08127363611111107,-0.020727044444444453,0.27219961335012594,0.32380038664987404,0.2526901463429908,0.47300200000000003,0.003349481682634603
7,2754,91,44,0.505,4.1,32,4,0.37362637362637363,0.037312120356613965,12,0,0.13186813186813187,"Allen, Tony",0.488,0.5379999999999999,0.26254399999999994,0.213,0.588,0.125244,37,0.73,65,0.2968131868131868,0.17537752089500735,0.125,0.6,0.075,0.175,0.643,0.112525,-0.02975363611111108,-0.07046004444444447,0.2144911401098901,0.2905088598901099,0.39252403930393426,0.3877879999999999,-0.0241486228951191
8,202329,582,230,0.503,8.4,171,120,0.39690721649484534,0.06059296322508567,59,5,0.1056701030927835,"Aminu, Al-Farouq",0.264,0.52,0.13728,0.073,0.37799999999999995,0.027593999999999994,83,0.48200000000000004,139,0.06873883161512027,-0.05269683430305919,0.245,0.486,0.11907,0.418,0.557,0.232826,0.09054736388888893,-0.02639004444444447,0.2043855120274914,0.2986144879725086,0.430946551633529,0.16487400000000002,-0.033837077228895396
9,1626147,202,87,0.515,5.3,68,32,0.4158415841584158,0.07952733088865616,19,2,0.09900990099009901,"Anderson, Justin",0.285,0.557,0.158745,0.086,0.563,0.04841799999999999,43,0.721,66,0.15348019801980198,0.032044532101622517,0.306,0.579,0.17717399999999997,0.32299999999999995,0.49200000000000005,0.158916,0.016637363888888923,0.031713955555555506,0.22635294554455443,0.2886470544554456,0.3550768175652769,0.20716299999999999,-0.030976218771506636
10,203937,438,231,0.5489999999999999,5.9,127,18,0.3105022831050228,-0.025811970164736853,104,1,0.23858447488584475,"Anderson, Kyle",0.47700000000000004,0.562,0.26807400000000003,0.128,0.6729999999999999,0.086144,130,0.515,193,0.15285388127853883,0.03141821536035937,0.204,0.608,0.12403199999999999,0.192,0.59,0.11327999999999999,-0.028998636111111087,-0.021428044444444475,0.17516704109589043,0.3738329589041095,0.5938204353599329,0.35421800000000003,0.051726790456295635
11,201583,480,207,0.568,7.3,156,130,0.46041666666666664,0.12410241339690697,51,1,0.10729166666666666,"Anderson, Ryan",0.113,0.67,0.07571000000000001,0.064,0.5329999999999999,0.034111999999999996,46,0.28300000000000003,75,0.027120833333333334,-0.09431483258484613,0.332,0.49700000000000005,0.16500400000000004,0.49,0.629,0.30821,0.1659313638888889,0.019543955555555576,0.240187875,0.32781212499999995,0.35273709974349465,0.109822,-8.746562982436812e-05
12,203507,1402,742,0.545,18.7,339,39,0.2557061340941512,-0.08060811917560845,403,4,0.2888730385164051,"Antetokounmpo, Giannis",0.431,0.6459999999999999,0.27842599999999995,0.154,0.6679999999999999,0.10287199999999999,500,0.48,699,0.17118402282453637,0.049748356906356914,0.253,0.457,0.115621,0.161,0.51,0.08211,-0.060168636111111076,-0.029839044444444462,0.1561552892296719,0.3888447107703281,0.665867442824807,0.3812979999999999,0.013770110944132774
