,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
0,Assisted Shot,Assisted,127,127,1.0,18,18,1.0,1.071,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203937
1,Assisted Shot,Unassisted,104,104,1.0,1,1,1.0,1.005,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,203937
0,Assisted Shot,Assisted,156,156,1.0,130,130,1.0,1.417,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,201583
1,Assisted Shot,Unassisted,51,51,1.0,1,1,1.0,1.01,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,201583
0,Assisted Shot,Assisted,2,2,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,46,Assisted,1628387
1,Assisted Shot,Unassisted,2,2,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,46,Unassisted,1628387
0,Assisted Shot,Assisted,339,339,1.0,39,39,1.0,1.058,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203507
1,Assisted Shot,Unassisted,403,403,1.0,4,4,1.0,1.005,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,203507
0,Assisted Shot,Assisted,262,262,1.0,148,148,1.0,1.282,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,2546
1,Assisted Shot,Unassisted,210,210,1.0,21,21,1.0,1.05,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,2546
0,Assisted Shot,Assisted,133,133,1.0,69,69,1.0,1.259,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,1628384
1,Assisted Shot,Unassisted,30,30,1.0,4,4,1.0,1.067,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,1628384
0,Assisted Shot,Assisted,12,12,1.0,8,8,1.0,1.333,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,1627853
1,Assisted Shot,Unassisted,5,5,1.0,1,1,1.0,1.1,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,1627853
0,Assisted Shot,Assisted,220,220,1.0,162,162,1.0,1.368,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,2772
1,Assisted Shot,Unassisted,48,48,1.0,8,8,1.0,1.083,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,2772
0,Assisted Shot,Assisted,21,21,1.0,8,8,1.0,1.19,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,46,Assisted,201589
1,Assisted Shot,Unassisted,1,1,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,46,Unassisted,201589
0,Assisted Shot,Assisted,23,23,1.0,7,7,1.0,1.152,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,1628503
1,Assisted Shot,Unassisted,8,8,1.0,1,1,1.0,1.063,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,1628503
0,Assisted Shot,Assisted,9,9,1.0,0,0,0.0,1.0,0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46,Assisted,201600
0,Assisted Shot,Assisted,107,107,1.0,77,77,1.0,1.36,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,201571
1,Assisted Shot,Unassisted,137,137,1.0,37,37,1.0,1.135,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,201571
0,Assisted Shot,Assisted,76,76,1.0,59,59,1.0,1.388,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,202337
1,Assisted Shot,Unassisted,15,15,1.0,1,1,1.0,1.033,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,202337
0,Assisted Shot,Assisted,43,43,1.0,11,11,1.0,1.128,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,46,Assisted,1628407
1,Assisted Shot,Unassisted,29,29,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,46,Unassisted,1628407
0,Assisted Shot,Assisted,13,13,1.0,8,8,1.0,1.308,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,1627758
1,Assisted Shot,Unassisted,7,7,1.0,3,3,1.0,1.214,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,1627758
0,Assisted Shot,Assisted,4,4,1.0,4,4,1.0,1.5,0,0.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,1,1,2,46,Assisted,1627735
1,Assisted Shot,Unassisted,10,10,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,1,2,2,2,2,1,1,1,2,1,2,1,46,Unassisted,1627735
0,Assisted Shot,Assisted,103,103,1.0,67,67,1.0,1.325,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,1628366
1,Assisted Shot,Unassisted,100,100,1.0,23,23,1.0,1.115,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,1628366
0,Assisted Shot,Assisted,101,101,1.0,72,72,1.0,1.356,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,200826
1,Assisted Shot,Unassisted,202,202,1.0,43,43,1.0,1.106,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,200826
0,Assisted Shot,Assisted,252,252,1.0,99,99,1.0,1.196,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203084
1,Assisted Shot,Unassisted,285,285,1.0,20,20,1.0,1.035,0,0.0,1.0,0.0,1.0,0.0,1.0,1,1,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,203084
0,Assisted Shot,Assisted,235,235,1.0,114,114,1.0,1.243,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203115
1,Assisted Shot,Unassisted,230,230,1.0,42,42,1.0,1.091,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,203115
0,Assisted Shot,Assisted,147,147,1.0,78,78,1.0,1.265,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,201587
1,Assisted Shot,Unassisted,123,123,1.0,14,14,1.0,1.057,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,201587
0,Assisted Shot,Assisted,92,92,1.0,52,52,1.0,1.283,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,201573
1,Assisted Shot,Unassisted,17,17,1.0,2,2,1.0,1.059,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,201573
0,Assisted Shot,Assisted,157,157,1.0,3,3,1.0,1.01,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,1,1,2,46,Assisted,203382
1,Assisted Shot,Unassisted,53,53,1.0,0,0,0.0,1.0,0,0.0,1.0,0.0,0.0,0.0,1.0,2,2,1,2,2,2,2,1,2,1,2,1,2,1,46,Unassisted,203382
0,Assisted Shot,Assisted,173,173,1.0,90,90,1.0,1.26,0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203145
1,Assisted Shot,Unassisted,111,111,1.0,18,18,1.0,1.081,0,0.0,1.0,0.0,1.0,0.0,1.0,2,2,1,2,2,1,2,1,2,1,2,1,2,1,46,Unassisted,203145
0,Assisted Shot,Assisted,328,328,1.0,156,156,1.0,1.238,0,1.0,0.0,1.0,0.0,1.0,0.0,2,2,1,1,1,1,1,1,1,2,1,2,1,2,46,Assisted,203078
