,GROUP_SET,GROUP_VALUE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,EFG_PCT,BLKA,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,EFG_PCT_RANK,BLKA_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK,CFID,CFPARAMS,PID
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,3,7,6,49,Backcourt,201573
0,Shot Area,Restricted Area,104,190,0.547,0,0,0.0,0.547,23,0.587,0.413,0.0,0.0,0.587,0.413,1,1,1,3,4,3,1,7,3,1,3,1,5,1,49,Restricted Area,203382
1,Shot Area,In The Paint (Non-RA),41,101,0.406,0,0,0.0,0.406,7,0.829,0.171,0.0,0.0,0.829,0.171,3,3,3,3,4,3,3,6,2,2,3,1,4,2,49,In The Paint (Non-RA),203382
2,Shot Area,Mid-Range,62,134,0.463,0,0,0.0,0.463,3,0.952,0.048,0.0,0.0,0.952,0.048,2,2,2,3,4,3,2,5,1,3,3,1,3,3,49,Mid-Range,203382
3,Shot Area,Left Corner 3,0,3,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,6,6,3,3,3,6,1,4,4,3,1,6,4,49,Left Corner 3,203382
4,Shot Area,Right Corner 3,1,10,0.1,1,10,0.1,0.15,0,0.0,0.0,1.0,0.0,1.0,0.0,5,4,5,2,1,2,5,1,4,4,1,1,1,4,49,Right Corner 3,203382
5,Shot Area,Above the Break 3,2,8,0.25,2,8,0.25,0.375,0,0.0,0.0,1.0,0.0,1.0,0.0,4,5,4,1,2,1,4,1,4,4,1,1,1,4,49,Above the Break 3,203382
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,7,6,3,4,3,6,1,4,4,3,1,6,4,49,Backcourt,203382
0,Shot Area,Restricted Area,102,182,0.56,0,0,0.0,0.56,16,0.451,0.549,0.0,0.0,0.451,0.549,1,2,1,5,6,5,3,7,2,2,5,2,5,2,49,Restricted Area,203145
1,Shot Area,In The Paint (Non-RA),24,82,0.293,0,0,0.0,0.293,14,0.375,0.625,0.0,0.0,0.375,0.625,4,4,6,5,6,5,6,6,3,1,5,2,6,1,49,In The Paint (Non-RA),203145
2,Shot Area,Mid-Range,51,139,0.367,1,1,1.0,0.371,4,0.56,0.44,1.0,0.0,0.569,0.431,3,3,5,4,4,1,5,5,1,3,1,2,4,3,49,Mid-Range,203145
3,Shot Area,Left Corner 3,19,43,0.442,19,43,0.442,0.663,0,0.0,0.0,1.0,0.0,1.0,0.0,5,5,3,2,2,3,2,1,4,4,1,2,1,5,49,Left Corner 3,203145
4,Shot Area,Right Corner 3,18,40,0.45,18,40,0.45,0.675,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,2,3,3,2,1,1,4,4,1,2,1,5,49,Right Corner 3,203145
5,Shot Area,Above the Break 3,70,189,0.37,70,189,0.37,0.556,1,0.0,0.0,0.743,0.257,0.743,0.257,2,1,4,1,1,4,4,4,4,4,4,1,3,4,49,Above the Break 3,203145
6,Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,5,4,5,7,1,4,4,5,2,7,5,49,Backcourt,203145
0,Shot Area,Restricted Area,229,348,0.658,0,0,0.0,0.658,25,0.371,0.629,0.0,0.0,0.371,0.629,1,3,1,4,5,4,1,7,1,3,4,3,4,3,49,Restricted Area,203078
1,Shot Area,In The Paint (Non-RA),69,191,0.361,0,0,0.0,0.361,19,0.348,0.652,0.0,0.0,0.348,0.652,4,4,6,4,5,4,6,6,2,2,4,3,5,2,49,In The Paint (Non-RA),203078
2,Shot Area,Mid-Range,186,415,0.448,0,0,0.0,0.448,11,0.339,0.661,0.0,0.0,0.339,0.661,2,2,2,4,5,4,5,5,3,1,4,3,6,1,49,Mid-Range,203078
3,Shot Area,Left Corner 3,14,35,0.4,14,35,0.4,0.6,1,0.0,0.0,0.929,0.071,0.929,0.071,5,5,3,2,2,1,2,1,4,4,2,2,2,5,49,Left Corner 3,203078
4,Shot Area,Right Corner 3,7,19,0.368,7,19,0.368,0.553,2,0.0,0.0,1.0,0.0,1.0,0.0,6,6,5,3,3,3,4,3,4,4,1,3,1,6,49,Right Corner 3,203078
5,Shot Area,Above the Break 3,178,474,0.376,178,474,0.376,0.563,3,0.0,0.0,0.764,0.236,0.764,0.236,3,1,4,1,1,2,3,4,4,4,3,1,3,4,49,Above the Break 3,203078
6,Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,3,7,6,49,Backcourt,203078
0,Shot Area,Restricted Area,28,48,0.583,0,0,0.0,0.583,8,0.714,0.286,0.0,0.0,0.714,0.286,1,2,1,4,4,4,1,7,2,2,4,2,5,2,49,Restricted Area,1627736
1,Shot Area,In The Paint (Non-RA),8,24,0.333,0,0,0.0,0.333,4,0.875,0.125,0.0,0.0,0.875,0.125,4,3,5,4,4,4,5,6,1,3,4,2,4,3,49,In The Paint (Non-RA),1627736
2,Shot Area,Mid-Range,9,24,0.375,0,0,0.0,0.375,0,0.556,0.444,0.0,0.0,0.556,0.444,3,3,2,4,4,4,4,1,3,1,4,2,6,1,49,Mid-Range,1627736
3,Shot Area,Left Corner 3,2,10,0.2,2,10,0.2,0.3,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,6,1,4,4,1,2,1,5,49,Left Corner 3,1627736
4,Shot Area,Right Corner 3,7,20,0.35,7,20,0.35,0.525,0,0.0,0.0,1.0,0.0,1.0,0.0,5,5,4,2,2,2,3,1,4,4,1,2,1,5,49,Right Corner 3,1627736
5,Shot Area,Above the Break 3,19,52,0.365,19,52,0.365,0.548,0,0.0,0.0,0.895,0.105,0.895,0.105,2,1,3,1,1,1,2,1,4,4,3,1,3,4,49,Above the Break 3,1627736
6,Shot Area,Backcourt,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,49,Backcourt,1627736
0,Shot Area,Restricted Area,198,306,0.647,0,0,0.0,0.647,20,0.551,0.449,0.0,0.0,0.551,0.449,1,1,1,4,5,4,2,7,1,3,4,2,4,3,49,Restricted Area,201563
1,Shot Area,In The Paint (Non-RA),99,202,0.49,0,0,0.0,0.49,18,0.384,0.616,0.0,0.0,0.384,0.616,2,3,2,4,5,4,4,6,2,2,4,2,5,2,49,In The Paint (Non-RA),201563
2,Shot Area,Mid-Range,78,213,0.366,0,0,0.0,0.366,2,0.359,0.641,0.0,0.0,0.359,0.641,3,2,4,4,5,4,5,5,3,1,4,2,6,1,49,Mid-Range,201563
3,Shot Area,Left Corner 3,4,12,0.333,4,12,0.333,0.5,1,0.0,0.0,1.0,0.0,1.0,0.0,5,6,5,2,3,2,3,4,4,4,1,2,1,5,49,Left Corner 3,201563
4,Shot Area,Right Corner 3,3,13,0.231,3,13,0.231,0.346,0,0.0,0.0,1.0,0.0,1.0,0.0,6,5,6,3,2,3,6,1,4,4,1,2,1,5,49,Right Corner 3,201563
5,Shot Area,Above the Break 3,27,60,0.45,27,60,0.45,0.675,0,0.0,0.0,0.889,0.111,0.889,0.111,4,4,3,1,1,1,1,1,4,4,3,1,3,4,49,Above the Break 3,201563
6,Shot Area,Backcourt,0,1,0.0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,2,7,5,49,Backcourt,201563
0,Shot Area,Restricted Area,71,110,0.645,0,0,0.0,0.645,6,0.845,0.155,0.0,0.0,0.845,0.155,3,3,1,4,5,4,1,6,2,2,4,3,5,2,49,Restricted Area,201158
1,Shot Area,In The Paint (Non-RA),17,44,0.386,0,0,0.0,0.386,9,0.882,0.118,0.0,0.0,0.882,0.118,4,4,4,4,5,4,6,7,1,3,4,3,3,4,49,In The Paint (Non-RA),201158
2,Shot Area,Mid-Range,100,215,0.465,0,0,0.0,0.465,2,0.76,0.24,0.0,0.0,0.76,0.24,2,2,2,4,5,4,5,4,3,1,4,3,6,1,49,Mid-Range,201158
3,Shot Area,Left Corner 3,10,29,0.345,10,29,0.345,0.517,0,0.0,0.0,1.0,0.0,1.0,0.0,6,6,6,3,3,3,4,1,4,4,1,3,1,6,49,Left Corner 3,201158
4,Shot Area,Right Corner 3,13,32,0.406,13,32,0.406,0.609,1,0.0,0.0,0.923,0.077,0.923,0.077,5,5,3,2,2,1,2,3,4,4,2,2,2,5,49,Right Corner 3,201158
5,Shot Area,Above the Break 3,126,332,0.38,126,332,0.38,0.569,3,0.0,0.0,0.857,0.143,0.857,0.143,1,1,5,1,1,2,3,5,4,4,3,1,4,3,49,Above the Break 3,201158
6,Shot Area,Backcourt,0,2,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7,7,7,4,4,4,7,1,4,4,4,3,7,6,49,Backcourt,201158
0,Shot Area,Restricted Area,93,133,0.699,0,0,0.0,0.699,12,0.742,0.258,0.0,0.0,0.742,0.258,1,1,1,1,2,1,1,7,1,3,1,1,1,3,49,Restricted Area,1628395
1,Shot Area,In The Paint (Non-RA),13,27,0.481,0,0,0.0,0.481,4,0.692,0.308,0.0,0.0,0.692,0.308,2,2,2,1,2,1,2,6,3,1,1,1,3,1,49,In The Paint (Non-RA),1628395
2,Shot Area,Mid-Range,10,21,0.476,0,0,0.0,0.476,0,0.7,0.3,0.0,0.0,0.7,0.3,3,3,3,1,2,1,3,1,2,2,1,1,2,2,49,Mid-Range,1628395
