,GROUP_SET,GROUP_VALUE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS,PID
196,Overall,2017-18,71,33,38,0.465,18.9,110.0,106.8,3.2,0.165,2.0,20.1,0.01,0.095,0.054,10.0,0.499,0.563,0.201,99.17,0.076,187,454,2.6,6.4,0.412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2734
197,Overall,2017-18,67,37,30,0.552,34.4,110.7,107.5,3.2,0.128,1.63,15.0,0.018,0.068,0.044,9.2,0.57,0.597,0.208,99.18,0.098,440,908,6.6,13.6,0.485,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203914
198,Overall,2017-18,78,27,51,0.346,25.3,104.5,108.4,-3.9,0.101,1.41,14.5,0.028,0.114,0.071,10.3,0.612,0.634,0.166,100.87,0.089,305,621,3.9,8.0,0.491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,203925
199,Overall,2017-18,80,39,41,0.488,33.3,106.7,109.3,-2.6,0.115,1.83,11.9,0.024,0.163,0.092,6.5,0.535,0.565,0.232,99.53,0.113,562,1221,7.0,15.3,0.46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,202699
200,Overall,2017-18,9,2,7,0.222,25.9,98.6,112.0,-13.4,0.072,3.67,12.2,0.017,0.106,0.056,3.3,0.341,0.392,0.151,98.88,0.022,19,69,2.1,7.7,0.275,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626151
201,Overall,2017-18,56,17,39,0.304,23.7,100.6,108.2,-7.7,0.222,2.19,23.4,0.02,0.098,0.058,10.7,0.477,0.534,0.201,95.26,0.083,181,429,3.2,7.7,0.422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1626150
202,Overall,2017-18,23,3,20,0.13,16.7,107.0,104.2,2.9,0.199,2.5,25.3,0.028,0.145,0.089,10.1,0.5,0.54,0.179,103.84,0.101,59,124,2.6,5.4,0.476,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1627885
203,Overall,2017-18,63,27,36,0.429,23.2,105.8,107.7,-1.9,0.076,1.7,14.7,0.032,0.16,0.097,8.6,0.573,0.596,0.136,101.04,0.087,176,375,2.8,6.0,0.469,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628404
204,Overall,2017-18,14,9,5,0.643,5.1,95.5,93.9,1.7,0.119,2.5,21.9,0.043,0.106,0.074,8.7,0.233,0.252,0.121,91.27,0.021,3,15,0.2,1.1,0.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,2617
205,Overall,2017-18,9,6,3,0.667,13.6,98.0,94.9,3.1,0.077,3.0,14.2,0.036,0.164,0.1,4.7,0.394,0.393,0.138,93.47,0.061,11,33,1.2,3.7,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33,2017-18,1628502
