,Age,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OBPM,DBPM,BPM,VORP,YrsInLg,Player
0,23.0,62.599999999999994,13.0,1353.8,6.14,13.440000000000001,6.32,13.7,-0.2,-0.2999999999999999,3.7400000000000007,5.359999999999999,3.3400000000000007,6.239999999999999,9.620000000000001,1.38,1.06,2.24,2.9800000000000004,6.22,15.9,0.4386,0.44139999999999996,0.0024000000000000132,0.4311999999999999,0.6866,0.48139999999999994,-0.009000000000000001,0.39259999999999995,9.759999999999998,17.78,13.84,4.96,1.4799999999999998,3.2199999999999993,13.94,20.239999999999995,98.0,99.19999999999999,-2.940000000000001,0.8,-2.06,0.0799999999999999,2.0,James Bailey
0,23.8,28.0,0.55,661.95,9.340000000000002,20.784999999999997,8.400000000000002,18.18,0.9149999999999998,2.5949999999999998,2.849999999999999,3.3200000000000003,0.8200000000000001,0.7050000000000005,1.4400000000000004,4.56,2.195,0.36000000000000004,3.34,2.9150000000000005,22.569999999999997,0.43155,0.44585,0.38964999999999994,0.45725,0.8086000000000001,0.4938000000000001,0.14850000000000002,0.1395,2.219999999999999,2.530000000000001,2.3,21.875,3.02,0.6000000000000001,14.025000000000002,28.804999999999996,100.3,107.2,2.245,-1.98,0.23999999999999932,0.27,2.0,Billy Ray Bates
0,24.0,81.6,84.4,3083.2,8.299999999999999,17.34,7.579999999999999,15.52,0.72,1.8200000000000003,3.1599999999999997,3.66,2.24,7.5200000000000005,9.86,4.88,1.74,0.7799999999999999,3.14,2.9599999999999995,20.46,0.47959999999999997,0.4904,0.36100000000000004,0.4996,0.8388000000000001,0.5389999999999999,0.10600000000000001,0.2108,7.200000000000001,22.92,15.200000000000001,19.82,2.34,1.28,14.440000000000001,24.480000000000008,109.4,97.6,3.0,2.94,5.9399999999999995,6.02,2.0,Larry Bird
0,23.9,11.9,5.8,213.1,4.029999999999999,9.25,4.209999999999999,9.430000000000001,-0.18,-0.14,2.6,4.840000000000001,2.4000000000000004,7.17,9.49,0.08999999999999997,1.0999999999999996,1.36,0.9799999999999998,8.39,10.410000000000004,0.41659999999999997,0.4369,-0.13,0.41120000000000007,0.6289,0.4561,0.018300000000000004,0.6239,6.15,20.66,13.16,0.08000000000000007,1.3699999999999999,1.85,7.050000000000001,13.160000000000002,98.7,104.0,-4.8,-1.5199999999999996,-6.27,-0.07,2.0,Lawrence Boston
0,23.0,79.4,28.200000000000003,2447.0,4.82,10.180000000000001,4.660000000000001,10.079999999999998,0.08000000000000007,0.12000000000000025,2.3400000000000003,3.2199999999999993,0.9199999999999997,2.4000000000000012,3.4399999999999995,4.68,3.7600000000000002,0.74,2.9000000000000004,2.9599999999999995,12.12,0.4634,0.45959999999999995,0.37020000000000003,0.4714,0.7504,0.5159999999999999,0.031999999999999994,0.303,2.7399999999999998,7.52,5.079999999999999,16.879999999999995,4.92,1.08,19.700000000000003,15.979999999999997,99.0,102.4,-0.9,2.2800000000000002,1.3599999999999999,1.94,2.0,Dudley Bradley
0,23.0,69.39999999999999,-14.799999999999997,2572.2000000000003,8.379999999999999,15.600000000000001,8.18,15.080000000000002,0.20000000000000018,0.48,5.84,7.359999999999999,2.1600000000000006,6.22,8.3,1.56,0.78,1.3599999999999999,2.2999999999999994,3.2600000000000002,22.82,0.5508,0.5516000000000001,0.016000000000000042,0.5560000000000002,0.7848,0.6167999999999999,0.020199999999999996,0.4798,6.4,19.18,12.7,5.620000000000001,1.0000000000000002,1.9400000000000002,11.239999999999998,22.240000000000002,121.0,106.80000000000001,2.5799999999999996,-0.7000000000000001,1.9000000000000004,2.2400000000000007,2.0,Bill Cartwright
0,24.0,61.6,2.2,1115.4,5.08,10.98,5.04,10.8,0.05999999999999994,0.08000000000000021,3.4,4.479999999999999,3.28,5.780000000000001,9.059999999999999,3.2599999999999993,1.2200000000000002,0.7,3.04,4.12,13.76,0.46579999999999994,0.45840000000000003,0.01959999999999998,0.4690000000000001,0.7384000000000002,0.5292,0.014999999999999989,0.4048,10.360000000000001,17.300000000000004,13.920000000000003,11.7,1.56,1.1400000000000001,18.94,17.719999999999995,102.8,101.39999999999999,-1.4399999999999997,0.7999999999999999,-0.6400000000000008,0.7000000000000001,2.0,Jeff Cook
0,25.2,52.199999999999996,0.5999999999999996,764.5999999999999,5.300000000000001,10.72,5.160000000000001,10.78,0.15999999999999992,-0.0200000000000001,1.5399999999999994,2.3400000000000003,1.76,2.1599999999999997,3.9800000000000004,2.54,1.78,0.54,2.3800000000000003,5.1,12.34,0.49119999999999986,0.4760000000000001,0.15439999999999998,0.5031999999999999,0.7128,0.5269999999999999,0.02280000000000001,0.22280000000000003,5.36,6.459999999999999,5.92,8.7,2.3,0.72,16.6,14.899999999999995,102.0,110.0,-2.3000000000000007,-1.02,-3.3400000000000003,0.26,2.0,Hollis Copeland
0,28.6,44.95,5.25,699.1,6.32,13.695,5.88,12.355,0.5,1.3849999999999998,1.8100000000000003,2.5250000000000004,0.73,4.01,4.785000000000001,2.77,1.475,0.4699999999999999,2.28,5.820000000000001,15.02,0.47679999999999995,0.4818,0.2401,0.4918,0.5904999999999999,0.51515,0.08804999999999999,0.20900000000000002,2.37,12.325,7.209999999999997,11.259999999999998,1.9500000000000002,0.995,14.149999999999999,19.655000000000005,97.1,105.15,-2.469999999999999,-0.7499999999999998,-3.2849999999999984,-0.175,2.0,John Coughran
0,26.0,3.2,0.0,6.399999999999999,7.6,11.120000000000001,0.20000000000000062,0.6200000000000001,7.42,10.48,16.740000000000002,15.74,-0.4,-0.5999999999999999,-0.9999999999999998,0.3000000000000007,-1.3,0.0,3.8599999999999994,13.659999999999998,39.300000000000004,0.6469999999999999,-0.10339999999999994,0.467,0.9232,1.5,1.0638,0.74,1.3864,-1.34,-1.9799999999999995,-1.7399999999999998,-4.240000000000002,-1.8399999999999999,0.0,21.28,26.200000000000003,157.8,113.6,13.3,-9.44,3.7799999999999976,-0.020000000000000004,2.0,Terry Crosby
